,lat,,lon,,,flooding,,yael_4326,,,grd_ele_43,,,dist,,
[,42.3300601,",",-71.0575962,],",",1,",",32.26387,90.074966,",",4.31428,14.1544624,",",0,",",0.232352941
[,42.3298063,",",-71.0568237,],",",1,",",32.69214,90.845852,",",3.79087,12.43723793,",",0.23235,",",
[,42.335612,",",-71.0453653,],",",1,",",32.56448,90.616064,",",17.08227,56.04419471,",",0.4647,",",
[,42.3358023,",",-71.0242081,],",",1,",",28.72599,83.706782,",",3.52239,11.55639801,",",0.69705,",",
[,42.3332644,",",-71.0227489,],",",0,",",26.92395,80.46311,",",2.07141,6.795964784,",",0.9294,",",
[,42.3320588,",",-71.0202599,],",",0,",",21.2682,70.28276,",",2.93492,9.629002933,",",1.16175,",",
[,42.3310119,",",-71.0175991,],",",0,",",20.42956,68.773208,",",3.71359,12.18369462,",",1.3941,",",
[,42.3307263,",",-71.0150671,],",",0,",",20.15397,68.277146,",",2.1119,6.928805996,",",1.62645,",",
[,42.3343113,",",-71.0124922,],",",0,",",20.66238,69.192284,",",0.81453,2.672342605,",",1.8588,",",
[,42.3362782,",",-71.0113335,],",",0,",",23.1679,73.70222,",",3.35002,10.99087962,",",2.09115,",",
[,42.3369126,",",-71.0093594,],",",0,",",20.9456,69.70208,",",3.35002,10.99087962,",",2.3235,",",
[,42.3384353,",",-71.0099173,],",",0,",",22.68101,72.825818,",",7.20934,23.65269105,",",2.55585,",",
[,42.3392283,",",-71.0112906,],",",0,",",25.55251,77.994518,",",3.20575,10.51755283,",",2.7882,",",
[,42.3386891,",",-71.0123205,],",",0,",",26.37983,79.483694,",",8.53694,28.00833423,",",3.02055,",",
[,42.3386891,",",-71.0132217,],",",0,",",27.18873,80.939714,",",4.13348,13.56128652,",",3.2529,",",
[,42.3386256,",",-71.0200024,],",",0,",",26.96618,80.539124,",",2.43309,7.982578996,",",3.48525,",",
[,42.3378326,",",-71.0218048,],",",0,",",25.59136,78.064448,",",2.61253,8.571292925,",",3.7176,",",
[,42.335834,",",-71.0241652,],",",1,",",28.72599,83.706782,",",3.52239,11.55639801,",",3.94995,",",